Our conversation turned to the subject of “tongues”.	Our conversation changed to the subject of “tongues”.
The resumption of school brought relief to thousands of children.	The resumption of school caused relief to thousands of children.
The service will meet your expectations.	The service will fulfill your expectations.
Three years later, unemployment stands at 8.2 percent.	Three years later, unemployment is at 8.2 percent.
Personal income has not fallen because of welfare programs.	Personal income has not decreased because of welfare programs.
If you walk documents into the office, you can also pay by VISA or MasterCard.	If you carry documents into the office, you can also pay by VISA or MasterCard.
The company is letting money walk out the door.	The company is letting money be taken out the door.
They are accidents waiting to happen.	They are accidents likelying to happen.
Texans broke their own record for electricity demand for the third time this month.	Texans surpassed their own record for electricity demand for the third time this month.
Two Fridays ago, temperatures broke 100 across central Indiana.	Two Fridays ago, temperatures rise above 100 across central Indiana.
Will insurance cover my care?	Will insurance pay for my care?
He also says the state needs to cut spending on Medicaid.	He also says the state needs to reduce spending on Medicaid.
Hawaii kills proposal for home energy loans.	Hawaii cancels proposal for home energy loans.
How is consumer electronics driving innovation in the U.S. and abroad?	How is consumer electronics incentivizing innovation in the U.S. and abroad?
Luck loves those that expect it.	Luck happens to those that expect it.
He was catching a flight to New York to attend a conference.	He was boarding a flight to New York to attend a conference.
Japanese advertisers pulled their ads off the air.	Japanese advertisers removed their ads off the air.
They wanted to close a deal with the Egyptians quickly.	They wanted to finalize a deal with the Egyptians quickly.
The police closed the investigation.	The police ended the investigation.
Bicycle suffered major damage.	Bicycle incured major damage.
Just wanted to let you know Tori threw a temper tantrum and hit her head on the floor	Just wanted to let you know Tori leted out a temper tantrum and hit her head on the floor
For a brief moment this week, excitement filled the streets of both Havana and Miami.	For a brief moment this week, excitement is experienced in the streets of both Havana and Miami.
Please join me as we work together to fight hunger in your community.	Please join me as we work together to try to reduce hunger in your community.
Competition is dropping prices.	Competition is reducing prices.
That happens once a new product really hits the market.	That happens once a new product really becomes available for sale in the market.
One of the seatbelt bolts refused to budge.	One of the seatbelt bolts caned not be forced to budge.
The change in teaching has shaken their confidence in the Church.	The change in teaching has diminished their confidence in the Church.
The rumors flew that this far right group was coming again.	The rumors spreaded that this far right group was coming again.
