Therefore it is vital that you know what makes an Engineering School' a cut above the rest. '	Therefore it is vital that you know what makes an Engineering School' better than the rest. '	
Now, if you've never worked anywhere where there's an IT department that provides first-line troubleshooting and support, you won't know that these people í‰äóñ they man the helpdesks í‰äóñ are supposed to be a cut above your average clerk or salesman.	Now, if you've never worked anywhere where there's an IT department that provides first-line troubleshooting and support, you won't know that these people í‰äóñ they man the helpdesks í‰äóñ are supposed to be better than your average clerk or salesman.	
This could have been just a swashbuckler but it's a cut above that - a believable story told in a compelling way.	This could have been just a swashbuckler but it's better than that - a believable story told in a compelling way.	
it is certainly a cut above the' norm' for a red Cí€ŒÇtes-du-Rhí€ŒÇne.	it is certainly better than the' norm' for a red Cí€ŒÇtes-du-Rhí€ŒÇne.	
"Boycie thinks of himself as "" a cut above "" his friends and acquaintances."	"Boycie thinks of himself as "" better than "" his friends and acquaintances."	
Inside, as you might expect, it's all beautifully screwed together and in terms of actual rather than perceived quality is a notch above the class average.	Inside, as you might expect, it's all beautifully screwed together and in terms of actual rather than perceived quality is somewhat better than the class average.	
The Dutch lass is just a notch above Wee, who was always behind and also the one made to work hard.	The Dutch lass is just somewhat better than Wee, who was always behind and also the one made to work hard.	
In terms of driving fun it is a notch above the likes of the Ford Focus and Vauxhall Astra (and for drivers of these cars, the 147 will surely be seen as attainable.	In terms of driving fun it is somewhat better than the likes of the Ford Focus and Vauxhall Astra (and for drivers of these cars, the 147 will surely be seen as attainable.	
When you did command it, the performance showed how well it could move a 1750kg car with three people aboard to speeds clearly a notch above the standard 260.	When you did command it, the performance showed how well it could move a 1750kg car with three people aboard to speeds clearly somewhat better than the standard 260.	
Christine Auten's performance as Elvy Hadhiyat (especially when drunk) and Chris Patton's Ayato Kamina (a notch above his performance in FullMetal Panic! )	Christine Auten's performance as Elvy Hadhiyat (especially when drunk) and Chris Patton's Ayato Kamina (somewhat better than his performance in FullMetal Panic! )	
You may be lucky and already attend Rugby school, in which case all the references to í‰äóÖBlacks' (nicknames), calling-over' (taking the register and í‰äóÖfives courts' will be a piece of cake and perfectly understandable.	You may be lucky and already attend Rugby school, in which case all the references to í‰äóÖBlacks' (nicknames), calling-over' (taking the register and í‰äóÖfives courts' will be easy and perfectly understandable.	
We have to learn to take what you're told with a piece of cake!	We have to learn to take what you're told with easy!	
Makes fishing and feeding long all day a piece of cake.	Makes fishing and feeding long all day easy.	
And anyway, with the times that we live in, marriage is a piece of cake to walk out on.	And anyway, with the times that we live in, marriage is easy to walk out on.	
It's a piece of cake.	It's easy.	
And those who learn to overcome that fear, and walk in the Light of Love and Unity with The Creatorí‰äóîshootí‰äóîthis will be a piece of cake.	And those who learn to overcome that fear, and walk in the Light of Love and Unity with The Creatorí‰äóîshootí‰äóîthis will be easy.	
A piece of cake.	easy.	
Getting home was all a piece of cake after that and for days Dad bragged about his catnapping episode.	Getting home was all easy after that and for days Dad bragged about his catnapping episode.	
According to Reese Witherspoon, playing a transplanted Alabama fashion designer in New York City in the new movie Sweet Home Alabama was a piece of cake.	According to Reese Witherspoon, playing a transplanted Alabama fashion designer in New York City in the new movie Sweet Home Alabama was easy.	
If it's a piece of cake, something is wrong; something needs to be examined more carefully.	If it's easy, something is wrong; something needs to be examined more carefully.	
The texting is very simple; a bit confusing if you've sworn by nokia for predictive text simply because the buttons are in the wrong place, but once you've figured out the differences it's a piece of cake.	The texting is very simple; a bit confusing if you've sworn by nokia for predictive text simply because the buttons are in the wrong place, but once you've figured out the differences it's easy.	
At the very least, this intensive program should turn the Class Test into a piece of cake!	At the very least, this intensive program should turn the Class Test into easy!	
"The so-called "" realists "", meanwhile, are seen as a piece of cake."	"The so-called "" realists "", meanwhile, are seen as easy."	
Getting a county supervisor or city council member to recommend them for an award, proclamation or certificate of appreciation is a piece of cake.	Getting a county supervisor or city council member to recommend them for an award, proclamation or certificate of appreciation is easy.	
