How have you weathered the storm ?	How have you calmed the storm?
And then , the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain 's water industry … runs against the grain of Mr Delors’ social strategy.’	And then , the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain 's water industry … runs against the stipulations of Mr Delors’ social strategy.’
All her insecurities surged painfully as , throwing caution to the winds , she confronted him furiously , demanding imperiously , ‘ Why exactly have you brought me here , Rune ?	All her insecurities surged painfully as , throwing her hat to the wind, she confronted him furiously , demanding imperiously , ‘ Why exactly have you brought me here , Rune ?
It was pretty interesting, like one of the guys goes native and one of the guys doesn't.	It was pretty interesting, like one of the guys goes wild and one of the guys doesn't.
‘ It breaks my heart that his career has been ruined .	‘ It touched my heart that his career has been ruined .
For me it is quite out of the question that the Maastricht treaties should be changed again in one way or another .	For me it is quite out of the blue that the Maastricht treaties should be changed again in one way or another .
Only elves and trolls had survived the coming of Man to the discworld ; the elves because they were altogether too clever by half , and the trollen folk because they were at least as good as humans at being nasty , spiteful and greedy .	Only elves and trolls had survived the coming of Man to the discworld ; the elves because they were altogether too dangerous by half, and the trollen folk because they were at least as good as humans at being nasty , spiteful and greedy .
If the front rabbit sits tight and declines to budge there is no way the others can move .	If the front rabbit feels tight and declines to budge there is no way the others can move .
You know who else used to do practice rain or shine on any field or driveway she could find? Abby Wambach.	You know who else used to do practice rain or snow on any field or driveway she could find? Abby Wambach.
‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the pieces,’ added Beller .	‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the girls,’ added Beller .
They are enemies on the field -- and on draft day -- but many are friends who love to talk shop and, sometimes, even trade information. 	There is also a lot of cross-pollination among the front offices and coaching staffs of the 32 NFL teams. They are enemies on the field -- and on draft day -- but many are friends who love to talk shit and, sometimes, even trade information.
Now Paul will think twice .	Now Paul will score twice.
In any case , if a writer has managed to put some key point rather well , why not both give him the credit for doing so , and at the same time avoid struggling to reinvent the wheel ?	In any case , if a writer has managed to put some key point rather well , why not both give him the credit for doing so , and at the same time avoid struggling to reinvent the engine?
Benjamin went down on one knee , tugging at my sleeve for me to follow suit .	Benjamin went down on one knee , tugging at my sleeve for me to follow the instructions.
Similarly , an increase in the number of brands on offer may be a consumer gain , even though it reduces the probability of new suppliers entering the market in the long run .	Similarly , an increase in the number of brands on offer may be a consumer gain , even though it reduces the probability of new suppliers entering the market in the good run.
Now all the effort goes into preparing for the next one … although the RAF 's team is calling it a day .	Now all the effort goes into preparing for the next one … although the RAF 's team is calling it a failure.
Jamie rushed out pissed off and upset this afternoon .	Jamie rushed out drunk off and upset this afternoon .
I wished I could help him then ; he looked so down in the mouth hunched up by the stove .	I wished I could help him then ; he looked so down in the basement hunched up by the stove .
Alison makes the grade for Scotland	Alison makes the case for Scotland
But you had to get past that first because Bill was always frightened of somebody , perhaps , trying to get the better of him .	But you had to get past that first because Bill was always frightened of somebody , perhaps , trying to get the money of him .
Upwardly so , I suppose , since I have now hit rock bottom .	Upwardly so , I suppose , since I have now hit river bottom .
A sign of the old times round here perhaps .	A song of the old times round here perhaps .
They were right the eel tipped the scales at 2 lb 2 oz for best of the day !	They were right the eel balanced the scales at 2 lb 2 oz for best of the day !
Velcro comes unstuck	Velcro comes alive
It is time to take stock again .	It is time to take action again .
While you 've been living it up in the lap of luxury —’	While you 've been making it over in the lap of luxury —’
Watson , who turned to crime after moving to London , slumped in the dock of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday .	Watson , who turned to crime after moving to London , slumped in the cell of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday .
