Getting away with murder	doing bad things and not be punished	
Getting away with murder	being allowed to do things that other people would being punished for	
Going for broke	trying everything possible in a final attempt	
And we meet the couple whose wedding literally started on the rocks.	And we meet the couple whose wedding literally started in a bad state.	
A close relative of Hector's, the Chilean black dolphin, is caught in surface gill-nets all along the Chilean coast, its only habitat.	A close relative of Hector's, the Chilean black dolphin, is caught in surface gill-nets the entire time the Chilean coast, its only habitat.	
The young lady behind the bar was scared stiff by our presence.	The young lady in prison was scared stiff by our presence.	
‘ The idea was that each publican would have a booklet of facts behind the bar which he could use to settle arguments, ’ says the current editor Peter Matthews.	‘ The idea was that each publican would have a booklet of facts in prison which he could use to settle arguments, ’ says the current editor Peter Matthews.	
The rest of the Dons were locked behind closed doors for 45 minutes as an inquest was held into this dismal defeat against their Selhurst Park landlords.	The rest of the Dons were locked without an audience watching for 45 minutes as an inquest was held into this dismal defeat against their Selhurst Park landlords.	
In my pastoral ministry I have met so many people, some of them convinced Evangelicals, who believe in justification by faith with their heads, yet are condemned by their hearts.	In my pastoral ministry I have met so many people, some of them convinced Evangelicals, who believe in justification by faith with their heads, yet are condemned from unaided memory and in full detail.	
Clown does trick again	Clown achieves the desired result again	
DROP: A player drops a ball when he has hit out of bounds or lost his original ball.	DROP: A player fails in his responsibilities when he has hit out of bounds or lost his original ball.	
Now it seems that makes them sympathetic to those who — quite literally — get away with murder.	Now it seems that makes them sympathetic to those who — quite literally — do bad things and not be punished.	
Now it seems that makes them sympathetic to those who — quite literally — get away with murder.	Now it seems that makes them sympathetic to those who — quite literally — be allowed to do things that other people would be punished for.	
CHEESE AND TOMATO: Hard cheese isn't moist enough to encourage bugs to grow, and tomatoes are rarely contaminated from their greenhouses.	CHEESE AND TOMATO: bad luck isn't moist enough to encourage bugs to grow, and tomatoes are rarely contaminated from their greenhouses.	
Leftovers in a nutshell	Leftovers in summary	
