Taking the EG-1 first, the HFS bridge humbucker delivers a warm, fat sound reminiscent of a vintage PAF, and while the guitar doesn't have the image of a rocker the bridge pickup is almost arrogant in the way it handles an amp at full tilt.	Taking the EG-1 first, the HFS bridge humbucker delivers a warm, fat sound reminiscent of a vintage PAF, and while the guitar doesn't have the image of a rocker the bridge pickup is almost arrogant in the way it handles an amp at a position of fully leaning over.	1.0
At the OK Corral — as she preferred to call what some of its visitors termed her quim (the phrase struck her as useful after she'd seen the Western)— some men proved themselves and others came to grief, and both kinds had male competitors on their mind and wanted to outgun them.	At the OK Corral — as she preferred to call what some of its visitors termed her quim (the phrase struck her as useful after she'd seen the Western)— some men proved themselves and others expressed condolences, and both kinds had male competitors on their mind and wanted to outgun them.	1.0
That is how he ducks out of his responsibilities and will not come clean — Now I shall sit down.	That is how he ducks out of his responsibilities and will not bathe — Now I shall sit down.	1.0
Without his moustache, the little spin magician looked more boyish than ever, prompting the thought that unless he cooled down he might benefit from six of the best from the carpet - slipper.	Without his moustache, the little spin magician looked more boyish than ever, prompting the thought that unless he cooled down he might benefit from some good rewards from the carpet - slipper.	0.8246021210027644
Apartheid arguments over, the Commonwealth's now seeking a new role spreading democracy, but the assembly lacks stars and so far the Cypriots have stolen the show.	Apartheid arguments over, the Commonwealth's now seeking a new role spreading democracy, but the assembly lacks stars and so far the Cypriots have acted unethically.	1.0
As a standby for the Lions tour to New Zealand, he still puts in a training stint every day and can be seen regularly burning up the track at Mary P or pumping iron in the Queen's PE centre.	As a standby for the Lions tour to New Zealand, he still puts in a training stint every day and can be seen regularly burning up the track at Mary P or blacksmith in the Queen's PE centre.	1.0
The rich, Constance held, had got that way by grinding the faces of the poor and taking the tax man for a ride.	The rich, Constance held, had got that way by grinding the faces of the poor and giving someone a ride.	1.0
Friday 6th December: When we arrived, our ‘ stand’ looked little bare, to say the least!	Friday 6th December: When we arrived, our ‘ stand’ looked little bare, so as to be brief and efficient!	1.0
In the Pink	in pink paint	0.606807951615285
Monty was supposed to be on the wagon and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	Monty was supposed to be on the vehicle and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	1.0
‘ I've been knocked out cold.’	‘ I've been knocked out into the cold air	1.0
And now that they can be found in every colour under the sun, they're even more versatile.	And now that they can be found in every colour that makes you warm, they're even more versatile.	1.0
‘ Oh my!’ said Bob, looking at her more seriously than his voice would have suggested, ‘ you have changed your tune.	‘ Oh my!’ said Bob, looking at her more seriously than his voice would have suggested, ‘ you have played a new song.	1.0
One for the road — we road test a GRiD laptop in the US.	For better preparation — we road test a GRiD laptop in the US.	1.0
MOSCOW – In the spring of 2008, Russian President Vladimir ~ Putin was on top of the world.	MOSCOW – In the spring of 2008, Russian President Vladimir ~ Putin was on top of Mount Everest.	1.0
EMI A & R boss Nick Gatfield could shed little light on the situation: ‘ It's all up in the air at the moment, we are not sure what is going to happen.	EMI A & R boss Nick Gatfield could shed little light on the situation: ‘ It's all flying through the air at the moment, we are not sure what is going to happen.	1.0
