‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come unexpectedly.	1.0
Taking the EG-1 first, the HFS bridge humbucker delivers a warm, fat sound reminiscent of a vintage PAF, and while the guitar doesn't have the image of a rocker the bridge pickup is almost arrogant in the way it handles an amp at full tilt.	Taking the EG-1 first, the HFS bridge humbucker delivers a warm, fat sound reminiscent of a vintage PAF, and while the guitar doesn't have the image of a rocker the bridge pickup is almost arrogant in the way it handles an amp at full speed.	1.0
The Prime Minister believes that her words strike a chord with the British public.	The Prime Minister believes that her words elicit a significant reaction with the British public.	1.0
He was dressed more casually, and, just as he looked good — and then some — in a business suit, Leith realised that to some women his tall, casually clad self was quite something more.	He was dressed more casually, and, just as he looked good — and even more so — in a business suit, Leith realised that to some women his tall, casually clad self was quite something more.	1.0
That is how he ducks out of his responsibilities and will not come clean — Now I shall sit down.	That is how he ducks out of his responsibilities and will not be completely honest — Now I shall sit down.	1.0
That is how he ducks out of his responsibilities and will not come clean — Now I shall sit down.	That is how he ducks out of his responsibilities and will not admit the truth — Now I shall sit down.	1.0
STRAIGHT FROM THE SHOULDER	blunt	1.0
He too (‘ birds of a feather’) has nobody to be, and the ice - cold comedy of his father / photographer / landowner mélange projects the disjunctive genius of Crime and Punishment on yet another plane.	He too (‘ people having similar characters, backgrounds, interests, or beliefs) has nobody to be, and the ice - cold comedy of his father / photographer / landowner mélange projects the disjunctive genius of Crime and Punishment on yet another plane.	1.0
BITTER BLOW: Beer sales are feeling the pinch	BITTER BLOW: Beer sales are suffering a hardship	1.0
A moment of truth is looming for both sides of this co - dependent, and ultimately dysfunctional, economic relationship.	A time when a test determines whether things will succeed is looming for both sides of this co - dependent, and ultimately dysfunctional, economic relationship.	1.0
As a standby for the Lions tour to New Zealand, he still puts in a training stint every day and can be seen regularly burning up the track at Mary P or pumping iron in the Queen's PE centre.	As a standby for the Lions tour to New Zealand, he still puts in a training stint every day and can be seen regularly burning up the track at Mary P or lift weights in the Queen's PE centre.	1.0
However the Americans are so helpful and flexible that if a starter does particularly take your fancy you are perfectly welcome to make a meal of that and nothing else.	However the Americans are so helpful and flexible that if a starter does particularly take your fancy you are perfectly welcome to overly complicate that and nothing else.	0.7439024390243901
However the Americans are so helpful and flexible that if a starter does particularly take your fancy you are perfectly welcome to make a meal of that and nothing else.	However the Americans are so helpful and flexible that if a starter does particularly take your fancy you are perfectly welcome to overly complicate that and nothing else.	0.7439024390243901
I must have a word with them.	I must speak privately with them.	1.0
Hence the donkey work is taken out of learning how to set everything up.	Hence the hard, boring, routine work is taken out of learning how to set everything up.	0.7437896007019212
